Number,Asset Tag,Functional Location,WO Number,Date of Maintenance,Maintenance Code,Spares Used,QTY,Hours Run Since Last Repair,Labour Hours,Asset Downtime Hours,Notes and Findings,Attachments
,242-PP-003,,,2025-09-04,PM00,,0.0,0.0,0.0,0.0,,
,,,9100005.0,2025-08-29,PM00,AM0533179,1.0,744.0,8.0,11.0,,
,,,9100005.0,2025-08-29,PM01,AM0533179,1.0,744.0,8.0,11.0,,
,,,9100005.0,2025-08-29,PM01,AM0525666,1.0,744.0,8.0,11.0,,
,,,9100005.0,2025-08-29,PM01,,1.0,744.0,8.0,11.0,,
,,,9100005.0,2025-08-29,PM01,AM0533179,1.0,744.0,8.0,11.0,,
,,,9100006.0,2025-08-30,PM00,AM0525666,1.0,36.0,2.0,3.0,,
,,,9100006.0,2025-08-30,PM01,AM0525672,1.0,0.0,0.0,0.0,,
,,,9100006.0,2025-08-30,PM02,AM1806819,1.0,48.0,3.0,6.0,,
,,,9100006.0,2025-08-30,PM02,AM1806819,1.0,48.0,3.0,6.0,,
,,,9100006.0,2025-08-30,PM02,AM1806819,1.0,48.0,3.0,6.0,,
,,,9100006.0,2025-09-02,PM01,,0.0,0.0,0.0,0.0,,
,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,9100005.0,2025-08-29,PM01,AM0533180,1.0,744.0,8.0,11.0,,408-PP-001_20250905_080727_Screenshot 2025-06-26 090735.png; 408-PP-001_20250905_080732_Screenshot 2025-06-26 090735.png
,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,9100005.0,2025-08-29,PM01,AM0533179,2.0,744.0,8.0,11.0,,408-PP-001_20250905_080727_Screenshot 2025-06-26 090735.png
,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,9100005.0,2025-08-29,PM01,AM0525672,1.0,744.0,8.0,11.0,,408-PP-001_20250905_080727_Screenshot 2025-06-26 090735.png
,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,910006.0,2025-09-02,PM00,AM1806819,1.0,92.0,2.0,5.0,,
JOB-20250918-140,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000009,2025-09-18,PM00,AM1806819,1.0,0.0,5.5,7.5,"Pump repacked and test run, operated welll",
JOB-20250919-141,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000012,2025-11-30,PM01,AM1806819,1.0,0.0,1.5,2.5,,
JOB-20250918-139,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000008,2025-09-29,PM01,AM1806819,1.0,744.0,2.0,4.0,"Packings Fully Adjusted, Replaced
Lantern Restrictor In Good Condition",
JOB-20250918-139,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000008,2025-09-29,PM01,AM0533176,4.0,744.0,2.0,4.0,"Packings Fully Adjusted, Replaced
Lantern Restrictor In Good Condition",
JOB-20250912-138,408-PP-009,"SECONDARY
  MILL DISCHARGE PUMP #2",WO-000005,2025-09-30,PM00,AM2445779,4.0,0.0,7.0,9.0,,
JOB-20250912-138,408-PP-009,"SECONDARY
  MILL DISCHARGE PUMP #2",WO-000005,2025-09-30,PM00,AM2445808,2.0,0.0,7.0,9.0,,
,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO12082025,2025-08-12,PM00,AM1806819,1.0,344.0,3.0,5.0,"Pump fully adjusted, packings replaced",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0525666,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM1806819,2.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0533176,4.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0533180,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0533179,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0525672,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM2081804,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0533182,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0525677,2.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0533175,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0533181,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0525668,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0533174,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0525669,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0525667,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0533178,3.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
JOB-20250911-137,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO-000004,2025-09-12,PM01,AM0533177,1.0,2200.0,12.0,14.0,"Pump completely overhauled. All spares replaced, housekeeping done",
,408-PP-001,PRIMARY MILL DISCHARGE PUMP #1,WO22092025A-002,2025-08-24,PM01,AM1806819,1.0,0.0,2.0,4.0,None,None
